"ego_id","ego_section"
1,"SP25-MSBR-70340-02"
2,"SP25-MSBR-70340-02"
3,"SP25-MSBR-70340-02"
4,"SP25-MSBR-70340-01"
5,"SP25-MSBR-70340-01"
6,"SP25-MSBR-70340-01"
7,"SP25-MSBR-70340-02"
8,"SP25-MSBR-70340-01"
9,"SP25-MSBR-70340-01"
10,"SP25-MSBR-70340-01"
11,"SP25-MSBR-70340-01"
12,"SP25-MSBR-70340-01"
13,"SP25-MSBR-70340-01"
14,"SP25-MSBR-70340-01"
15,"SP25-MSBR-70340-01"
16,"SP25-MSBR-70340-02"
17,"SP25-MSBR-70340-01"
18,"SP25-MSBR-70340-01"
19,"SP25-MSBR-70340-01"
20,"SP25-MSBR-70340-02"
21,"SP25-MSBR-70340-02"
22,"SP25-MSBR-70340-02"
23,"SP25-MSBR-70340-01"
24,"SP25-MSBR-70340-01"
25,"SP25-MSBR-70340-02"
26,"SP25-MSBR-70340-01"
27,"SP25-MSBR-70340-01"
28,"SP25-MSBR-70340-02"
29,"SP25-MSBR-70340-01"
30,"SP25-MSBR-70340-02"
31,"SP25-MSBR-70340-01"
32,"SP25-MSBR-70340-02"
33,"SP25-MSBR-70340-02"
34,"SP25-MSBR-70340-02"
35,"SP25-MSBR-70340-01"
36,"SP25-MSBR-70340-01"
37,"SP25-MSBR-70340-01"
38,"SP25-MSBR-70340-01"
39,"SP25-MSBR-70340-02"
40,"SP25-MSBR-70340-01"
41,"SP25-MSBR-70340-02"
42,"SP25-MSBR-70340-02"
43,"SP25-MSBR-70340-01"
44,"SP25-MSBR-70340-01"
45,"SP25-MSBR-70340-02"
46,"SP25-MSBR-70340-01"
47,"SP25-MSBR-70340-01"
48,"SP25-MSBR-70340-01"
49,"SP25-MSBR-70340-01"
50,"SP25-MSBR-70340-01"
51,"SP25-MSBR-70340-01"
52,"SP25-MSBR-70340-02"
53,"SP25-MSBR-70340-02"
54,"SP25-MSBR-70340-01"
55,"SP25-MSBR-70340-02"
56,"SP25-MSBR-70340-02"
57,"SP25-MSBR-70340-01"
58,"SP25-MSBR-70340-01"
59,"SP25-MSBR-70340-02"
60,"SP25-MSBR-70340-02"
61,"SP25-MSBR-70340-02"
62,"SP25-MSBR-70340-02"
63,"SP25-MSBR-70340-01"
64,"SP25-MSBR-70340-01"
65,"SP25-MSBR-70340-02"
66,"SP25-MSBR-70340-01"
67,"SP25-MSBR-70340-02"
68,"SP25-MSBR-70340-01"
69,"SP25-MSBR-70340-02"
